company_name,company_website,company_type,service_focus_area,url_type,power_url,dynamics_url,wait_for
Accenture,https://www.accenture.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://www.accenture.com/us-en/careers/jobsearch?jk=power%20platform%20dynamic%20365&sb=1,,"class=""rad-filters-vertical__job-card"""
Avanade,https://www.avanade.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://www.avanade.com/en/career/search-jobs#q=power%20platform&sortCriteria=%40job_area_of_expertise%20ascending,https://www.avanade.com/en/career/search-jobs#q=Dynamics%20356&sortCriteria=%40job_area_of_expertise%20ascending,"class=""jobCard"""
Deloitte (Microsoft Practice),https://www.deloitte.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://apply.deloitte.com/en_US/careers/SearchJobs/power%20platform?9353=%5B95157%2C95156%5D&9353_format=6067&listFilterMode=1&jobRecordsPerPage=10&sort=relevancy,https://apply.deloitte.com/en_US/careers/SearchJobs/Dynamics%20365?9353=%5B95157%2C95156%5D&9353_format=6067&listFilterMode=1&jobRecordsPerPage=10&sort=relevancy,"class=""article--result """
Cognizant (Microsoft Business Group),https://www.cognizant.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://careers.cognizant.com/global-en/jobs/?keyword=power+platform&location=&radius=100&lat=&lng=&cname=&ccode=&pagesize=50#results,https://careers.cognizant.com/global-en/jobs/?keyword=dynamics+365&location=&radius=100&lat=&lng=&cname=&ccode=&pagesize=50#results,"class=""card-job-actions js-job"""
Capgemini,https://www.capgemini.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=power%20platform&size=100,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=dynamics%20365&size=100,"class=""table-tr filter-box tag-active joblink"""
Infosys,https://www.infosys.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://digitalcareers.infosys.com/infosys/global-careers?keyword=power+plaform&per_page=100&page=1,https://digitalcareers.infosys.com/infosys/global-careers?keyword=dynamics+365&per_page=100&page=1,"class=""left-section"""
Apex Systems,https://apexsystems.com/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://www.apexsystems.com/search-results-usa?catalogcode=USA&address=&radius=50&page=1&rows=50&query=power%20platform%20&remote=,https://www.apexsystems.com/search-results-usa?catalogcode=USA&address=&radius=50&page=1&rows=50&query=dynamics%20365%20&remote=,"class=""job-td-link"""
Randstad Technologies,https://randstadusa.com/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://www.randstadusa.com/jobs/q-power-platform/,https://www.randstadusa.com/jobs/q-dynamics-365/,"class=""cards__title"""
Robert Half Technology,https://roberthalf.com/technology,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://www.roberthalf.com/us/en/jobs/all/power-platform,https://www.roberthalf.com/us/en/jobs/all/dynamics-365,"class=""rhcl-job-card__inner-container"""
Akkodis (Modis),https://akkodis.com/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,https://www.akkodis.com/en-ca/careers/job-results?q=power%20platform,https://www.akkodis.com/en-ca/careers/job-results?q=dynamics%20365,"class=""JobSearchResults_filter-results-job-position__w2qDq"""
Hitachi Solutions,https://global.hitachi-solutions.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://careers.smartrecruiters.com/HitachiSolutions/?search=power%20platform,https://careers.smartrecruiters.com/HitachiSolutions/?search=dynamics%20365,"class=""list--dotted title-list"""
Experis (ManpowerGroup),https://experis.com/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://www.experis.com/en/search?page=1&searchKeyword=power+platform&sortOrder=Relevance&sf=sortOrder&ids={sortOrder:[d345ff2072b1444daf5d15d7a57ba3fe]},https://www.experis.com/en/search?page=1&searchKeyword=dynamics+365&sortOrder=Relevance&sf=sortOrder&ids=={sortOrder:[d345ff2072b1444daf5d15d7a57ba3fe]},"class=""job-actionbar"""
Booz Allen Hamilton,https://www.boozallen.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://careers.boozallen.com/jobs/search/power%20platform?listFilterMode=1&jobRecordsPerPage=20&,https://careers.boozallen.com/jobs/search/dynamics%20356?listFilterMode=1&jobRecordsPerPage=20&,"class=""table--default"""
KPMG LLP,https://www.kpmg.us/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://www.kpmguscareers.com/job-search/?career-level=&career-level-parents=Experienced&practice-areas-parents=Innovation%20%26%20Technology%7C&practice-areas=&keyword=power%20platform&location=&radius=50&spage=1,https://www.kpmguscareers.com/job-search/?career-level=&career-level-parents=Experienced&practice-areas-parents=Innovation%20%26%20Technology%7C&practice-areas=&keyword=Dyanmic%20365&location=&radius=50&spage=1,"class=""list-view d-flex justify-content-between"""
DXC Technology,https://www.dxc.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://careers.dxc.com/global/en/search-results?keywords=power%20platform,https://careers.dxc.com/global/en/search-results?keywords=dynamics%20365,"class=""information"""
NTT Data,https://us.nttdata.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://nttdata.eightfold.ai/careers?query=power+platform&start=0&pid=563327924072039&sort_by=solr,https://nttdata.eightfold.ai/careers?query=dynamcis+365&start=0&pid=563327924072039&sort_by=solr,"data-test-id=""job-listing"""
EPAM Systems,https://www.epam.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://www.epam.com/careers/job-listings?recruitingUrl=%2Fcontent%2Fepam%2Fen%2Fcareers%2Fjob-listings%2Fjob&query=power+platform+&country=all&sort=relevance&searchType=placeOfWorkFilter,https://www.epam.com/careers/job-listings?recruitingUrl=%2Fcontent%2Fepam%2Fen%2Fcareers%2Fjob-listings%2Fjob&query=dynamics+365+&country=all&sort=relevance&searchType=placeOfWorkFilter,"class=""search-result__item-info-group"""
RSM US LLP,https://rsmus.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers?q=power%20platform,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers?q=dynamics%20365,"class=""css-1q2dra3"""
HSO,https://www.hso.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://www.hso.com/careers/vacancies/?searchTerm=power+platform,https://www.hso.com/careers/vacancies/?searchTerm=dynamics+365,"class=""card card--text"""
Argano (Arbela),https://argano.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+platform&mode=location,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=dynamics+365&mode=location,"class=""job-list-item__link"""
Quisitive,https://quisitive.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://quisitive.com/careers/careers-north-america/,https://quisitive.com/careers/careers-north-america/,"class=""job-posts"""
Crowe LLP,https://www.crowe.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://careers.crowe.com/search-results?keywords=power%20platform,,"class=""job-title"""
Perficient,https://www.perficient.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://fa-etqd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+platform&mode=location,https://fa-etqd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=dynamics+365&mode=location,"class=""job-list-item__link"""
Velosio,https://velosio.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://careers.velosio.com/jobs?keywords=power%20platform%20&sortBy=relevance&page=1&limit=100,https://careers.velosio.com/jobs?keywords=dynamics%20365%20&sortBy=relevance&page=1&limit=100,"class=""description-container"""
Sikich LLP,https://www.sikich.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://jobs.jobvite.com/sikichcareers/search?q=power%20platform&l=&c=,,"class=""jv-job-list-name"""
Focus Cloud (Cognitive Group),https://focuscloudgroup.org/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://www.focuscloudgroup.org/job-search/?keyword=power+platform,,"class=""results-header"""
Next Ventures,https://www.next-ventures.com/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://next-ventures.us/jobs/?matador_s=power+platform,,"class=""job_listings"""
Addison Group (Tech),https://addisongroup.com/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://www.addisongroup.com/jobs/l/recruiting/jobsearchaction/19e62b1f-e3e6-11eb-be56-42010a8a0031/8b589444-39b4-11f0-8e87-0242683a33f9/false?locations=&term=power+platform&postalCode=,,"class=""list-group-item"""
Motion Recruitment,https://motionrecruitment.com/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://motionrecruitment.com/tech-jobs?keywords=power+platform,,"class=""JobItem_module_jobItem"""
Collabera,https://collabera.com/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://collabera.com/job-search/?sort_by=&industry=&keyword=power+platform+&location=&Posteddays=0,,"class=""card-body"""
Computer Futures (SThree),https://computerfutures.com/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://www.computerfutures.com/en-gb/find-a-job/?searchRadius=100mi&country=Austria%2CBelgium%2CGermany%2CJapan%2CNetherlands%2CUnited+Kingdom%2CUnited+States&keywords=power+platform,,"class=""job-search"""
Pearson Carter,https://pearsoncarter.com/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://www.pearsoncarter.com/jobs/?search_keywords=power+platform&search_location=&search_radius=&radius_type=miles&filter_job_type%5B%5D=contract&filter_job_type%5B%5D=contractor&filter_job_type%5B%5D=full-time&filter_job_type%5B%5D=on-a-daily-basis&filter_job_type%5B%5D=permanent&filter_job_type%5B%5D=placement&filter_job_type%5B%5D=temporary&filter_job_type%5B%5D=#s=1,,"class=""listing-title"""
Prodapta (Ellis Group),https://prodapta.com/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://www.prodapta.com/search-jobs/?fwp_keyword=power%20platform,,"class=""job-item"""
Investigo,https://investigo.co.uk/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://www.investigo.co.uk/jobs?sort_type=relevance&query=power+platform&selected_locations=&submit=Search&source=google.com,https://www.investigo.co.uk/jobs?sort_type=relevance&query=dynamic+365&selected_locations=&submit=Search&source=google.com,"class=""job-result-item"""
Mondo,https://mondo.com/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://mondo.com/jobs/l/recruiting/jobsearchaction/c8336608-98ca-11ec-8029-42010a8a0008/d76c7451-39b8-11f0-8e87-0242683a33f9/false?term=power+platform&postalCode=,,"class=""list-group-item"""
Columbus Global (U.S.),https://www.columbusglobal.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://careers.columbusglobal.com/jobs?split_view=true&query=power+platform,,"id=""jobs_list_container"""
MCA Connect,https://mcaconnect.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://jobs.lever.co/mcaconnect,,"class=""posting-categories"""
Eide Bailly LLP,https://www.eidebailly.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://careers.eidebailly.com/jobs?_gl=1*kdg89h*_gcl_au*NDIxNzEyMzk3LjE3NDgyMjUxMTM.&keywords=power%20platform&sortBy=relevance&page=1,,"class=""mat-accordion cards"""
Wipfli (Technology Consulting),https://www.wipfli.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://careers.wipfli.com/all-openings?q=power%20plaform&size=n_20_n,,"class=""sui-results-container"""
Western Computer,https://westerncomputer.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://careers.westerncomputer.com/jobs?query=power+platform,,"id=""jobs_list_container"""
Rand Group,https://www.randgroup.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://careers-randgroup.icims.com/jobs/search?ss=1&searchKeyword=dynamics+365,https://careers-randgroup.icims.com/jobs/search?ss=1&searchKeyword=dynamics+365,"class=""container-fluid iCIMS_JobsTable"""
Revolution Group,https://www.revolutiongroup.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://www.revolutiongroup.com/about-us/join-us/,,"id=""whr_embed_hook"""
sa.global,https://saglobal.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://sa-global.breezy.hr/,,"class=""position transition"""
TTEC Digital (Avtex),https://www.ttec.com/,Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,static,https://jobs.lever.co/ttecdigital,,"class=""posting"""
Encore,https://www.encorebusiness.com/,,,static,https://www.encorebusiness.com/company/careers/,,"class=""careers-no-bullets"""
BDO,https://www.bdo.com/,,,static,https://ebqb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+platform&mode=location,,"class=""job-list-item__link"""
UST,https://www.ust.com/,,,static,https://usource.ripplehire.com/candidate/?token=xHQWoFn4C242POo7xMpH&source=CAREERSITE#list/search=power%20platform,,"class=""list-job-box"""
Digitall Nature Bulgaria EOOD,https://digitall.com/,,,static,https://digitall.com/careers/apply,,"role=""listitem"""
Creospark,https://creospark.com/,,,static,https://creospark.com/careers/#positions,,"class=""panel-heading"""
Hexaware,https://hexaware.com/,,,static,https://jobs.hexaware.com/#en/sites/CX_1/jobs?keyword=power+platform&mode=location&sortBy=POSTING_DATES_DESC,,"class=""job-list-item__link"""
Wipro,https://www.wipro.com/,,,static,https://careers.wipro.com/search?q=&q2=&alertId=&locationsearch=&title=power+platform&location=&date=,,"class=""data-row"""
BirlaSoft,https://www.birlasoft.com/,,,static,https://jobs.birlasoft.com/search/?createNewAlert=false&q=power+platform&optionsFacetsDD_country=&optionsFacetsDD_department=,,"id=""searchresults"""
Improving,https://www.improving.com/,,,static,https://www.improving.com/careers/open-positions/?search=power+platform,,"class=""MuiDataGrid-main css-opb0c2"""
TwoDay,https://www.twoday.com/,,,static,https://www.twoday.com/careers/open-positions,,"class=""tw-w-full tw-relative"""
Tietoevry,https://www.tietoevry.com/,,,satic,https://careers.tietoevry.com/jobs?q=microsoft%20dynamics&options=&page=1,https://careers.tietoevry.com/jobs?q=power%20platform&options=&page=1,"class=""attrax-list-widget__lists"""
Planet Technologies,https://go-planet.com/,,,static,https://go-planet.com/?s=microsoft+dynamics,https://go-planet.com/?s=power+platform,"class=""et_pb_post"""
Kainos,https://www.kainos.com/,,,static,https://careers.kainos.com/gb/en/search-results?keywords=power%20platform,,"role=""listitem"""
Slalom Consulting,https://www.slalom.com/,,,static,https://jobs.slalom.com/#/?keywords=power%20platform%20,,"id=""result-count"""
pwc,https://www.pwc.com/,,,static,https://jobs.us.pwc.com/search-jobs/power%20platform/932/1?fl=6252001,,ul
Zensar Technologies,,,,static,https://fa-etvl-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+plaform&mode=location&sortBy=POSTING_DATES_DESC,,div
Hays Technology ,https://www.hays.com,,,static,"https://www.hays.com/job-search/power-platform-jobs-in-united-states-us?q=Power%20Platform&location=United%20States,%20US&specialismId=&subSpecialismId=&locationf=&industryf=&sortType=0&jobType=-1&flexiWorkType=-1&payTypefacet=-1&minPay=-1&maxPay=-1&jobSource=HaysGCJ&searchPageTitle=Power%20Platform%20Jobs%20in%20United%20States,%20US%20%7C%20Hays%20Recruitment%20US&searchPageDesc=Looking%20for%20a%20new%20Power%20Platform%20job%20in%20United%20States,%20US%3F%20Browse%20our%20latest%20Power%20Platform%20jobs%20and%20apply%20with%20Hays!",,"id=""detailsSection"""
Conspicuous,https://conspicuous.com,,,static,https://conspicuous.com/jobs/,,"class=""job_listings"""
pwc,https://www.pwc.com/,Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,static,https://jobs.us.pwc.com/search-jobs/Dynamics %20365/932/1?fl=6252001,,ul
