Company Name,Company Website,Job Page / Careers URL,Reason for Inclusion,Location,Company Type,Service Focus Area,,,,,url_type,power_url,dynamics_url,wait_for,item_selector,detail_trigger_selector,detail_content_selector,next_button_selector,back_button_selector,search_selector,enter_selector
Microsoft Careers,https://microsoft.com/,https://jobs.careers.microsoft.com/global/en/search?l=en_us&pg=1&pgSz=20&o=Relevance&flt=true&ref=cms,"Microsoft is the creator of Dynamics 365 and Power Platform, with a huge number of open roles worldwide and unmatched brand reputation.","Redmond, WA, USA",Software Vendor,All Microsoft products (including Dynamics 365 and Power Platform),,,,Done,dynamic,https://jobs.careers.microsoft.com/global/en/search?q=power%20platform&l=en_us&pg=1&pgSz=20&o=Recent,https://jobs.careers.microsoft.com/global/en/search?q=dynamics%20365&l=en_us&pg=1&pgSz=20&o=Recent,"[role=""listitem""]","[role=""listitem""]","button.ms-Link:has-text(""See details"")","[data-bi-id=""job-detail""], .jobDetail, main[role=""main""]","button[aria-label=""Next""]","button[aria-label=""Back to search""]",,
Accenture,https://www.accenture.com/,https://www.accenture.com/us-en/careers/jobsearch,Global consulting and Microsoft Gold Partner with thousands of job openings in Dynamics 365 projects; very high brand recognition.,"Dublin, Ireland (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,static,https://www.accenture.com/us-en/careers/jobsearch?jk=power%20platform%20dynamic%20365&sb=1,,"class=""rad-filters-vertical__job-card""",,,,,,,
Nigel Frank International,https://www.nigelfrank.com/,https://www.nigelfrank.com/microsoft-jobs,"Leading recruitment firm specialized in Microsoft Dynamics 365/Power Platform roles, offering a high volume of relevant job listings and deep industry focus.","Newcastle, UK (Global)",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,Done,static,https://www.nigelfrank.com/microsoft-jobs?keyword=power+platform+&location=&segment=&product=&jobType=both,https://www.nigelfrank.com/microsoft-jobs?keyword=Dyanmic+365+&location=&segment=&product=&jobType=both,"class=""overview""",,,,,,,
Avanade,https://www.avanade.com/,https://www.avanade.com/en/career/search-jobs#sortCriteria=%40job_area_of_expertise%20ascending,Major Microsoft-focused consultancy (joint venture of Accenture and Microsoft) with extensive Dynamics 365 practices and many open positions; top-tier Microsoft partner.,"Seattle, WA, USA (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,in progress,static,https://www.avanade.com/en/career/search-jobs#q=power%20platform&sortCriteria=%40job_area_of_expertise%20ascending,https://www.avanade.com/en/career/search-jobs#q=Dynamics%20356&sortCriteria=%40job_area_of_expertise%20ascending,"class=""jobCard""",,,,,,,
TEKsystems,https://teksystems.com/,https://careers.teksystems.com/us/en/search-results?keywords=,"One of the largest IT staffing firms with a broad client base and numerous open tech roles, including many related to Microsoft Dynamics and Power Platform.","Hanover, MD, USA",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,issue,,,,,,,,,,,
Deloitte (Microsoft Practice),https://www.deloitte.com/,https://apply.deloitte.com/en_US/careers/SearchJobs/?9353=%5B95157%2C95156%5D&9353_format=6067&listFilterMode=1&jobRecordsPerPage=10&sort=relevancy,Big Four consulting firm with a dedicated Microsoft practice; strong brand and significant hiring needs for Dynamics 365 talent across multiple industries.,"New York, NY, USA (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,static,https://apply.deloitte.com/en_US/careers/SearchJobs/power%20platform?9353=%5B95157%2C95156%5D&9353_format=6067&listFilterMode=1&jobRecordsPerPage=10&sort=relevancy,https://apply.deloitte.com/en_US/careers/SearchJobs/Dynamics%20365?9353=%5B95157%2C95156%5D&9353_format=6067&listFilterMode=1&jobRecordsPerPage=10&sort=relevancy,"class=""article--result """,,,,,,,
Cognizant (Microsoft Business Group),https://www.cognizant.com/,https://careers.cognizant.com/global-en/jobs/?keyword=&location=&lat=&lng=&cname=&ccode=&origin=global,Global IT services leader with a specialized Microsoft Business Group; well-respected brand and numerous Dynamics 365 project openings.,"Teaneck, NJ, USA (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,static,https://careers.cognizant.com/global-en/jobs/?keyword=power+platform&location=&radius=100&lat=&lng=&cname=&ccode=&pagesize=50#results,https://careers.cognizant.com/global-en/jobs/?keyword=dynamics+365&location=&radius=100&lat=&lng=&cname=&ccode=&pagesize=50#results,"class=""card-job-actions js-job""",,,,,,,
Capgemini,https://www.capgemini.com/,https://www.capgemini.com/careers/join-capgemini/job-search/?size=100,Global systems integrator and Microsoft partner known for large-scale implementations; high brand credibility and a substantial number of Dynamics 365 roles.,"Paris, France (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,,static,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=power%20platform&size=100,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=dynamics%20365&size=100,"class=""table-tr filter-box tag-active joblink""",,,,,,,
Tata Consultancy Services (TCS),https://www.tcs.com/,https://ibegin.tcs.com/iBegin/jobs/search,Leading global IT consultancy with a significant Microsoft services portfolio; very large workforce and continuous demand for Dynamics 365 professionals.,"Mumbai, India (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,,dynamic,https://ibegin.tcsapps.com/candidate/jobs/search,,"class=""row custom-row searched-job ng-scope""","class=""job-data-bar""","data-ng-click=""jobDesc(j.jobId)""","class=""job-description-content""","a:not(.disabled)[ng-show=""showExtraButtons()""]","data-key=""jobDescription.backToSearchResults""","data-ng-model=""searchString""",
Infosys,https://www.infosys.com/,https://digitalcareers.infosys.com/infosys/global-careers,"Top-tier international IT services firm and Microsoft partner, trusted brand with many ongoing projects and open roles related to Dynamics 365/Power Platform.","Bengaluru, India (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,static,https://digitalcareers.infosys.com/infosys/global-careers?keyword=power+plaform&per_page=100&page=1,https://digitalcareers.infosys.com/infosys/global-careers?keyword=dynamics+365&per_page=100&page=1,"class=""left-section""",,,,,,,
Tech Mahindra,https://careers.techmahindra.com/,https://careers.techmahindra.com/CurrentOpportunity.aspx#Advance,Major global IT provider and Microsoft partner with a growing Dynamics 365 practice; strong brand presence and numerous open positions in the Microsoft tech stack.,"Pune, India (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,,,,,,,,,,,,
Apex Systems,https://apexsystems.com/,https://www.apexsystems.com/search-results-usa?catalogcode=USA&address=&radius=50&rows=25&query=%2A&remote=&page=1,Large U.S.-based IT staffing firm placing candidates at scale; numerous Microsoft technology roles on offer due to wide client network.,"Glen Allen, VA, USA",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,Done,static,https://www.apexsystems.com/search-results-usa?catalogcode=USA&address=&radius=50&page=1&rows=50&query=power%20platform%20&remote=,https://www.apexsystems.com/search-results-usa?catalogcode=USA&address=&radius=50&page=1&rows=50&query=dynamics%20365%20&remote=,"class=""job-td-link""",,,,,,,
Randstad Technologies,https://randstadusa.com/,https://www.randstadusa.com/jobs/,"Global staffing leader with a strong IT recruitment arm; high volume of tech job postings, including multiple Microsoft Dynamics roles.","Diemen, Netherlands (Global)",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,Done,static,https://www.randstadusa.com/jobs/q-power-platform/,https://www.randstadusa.com/jobs/q-dynamics-365/,"class=""cards__title""",,,,,,,
Robert Half Technology,https://roberthalf.com/technology,https://www.roberthalf.com/us/en/jobs,"Highly reputable tech recruiting firm (division of Robert Half) with nationwide reach and many open IT positions, including Dynamics 365 opportunities.","Menlo Park, CA, USA",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,in progress,static,https://www.roberthalf.com/us/en/jobs/all/power-platform,https://www.roberthalf.com/us/en/jobs/all/dynamics-365,"class=""rhcl-job-card__inner-container""",,,,,,,
Akkodis (Modis),https://akkodis.com/,"US: https://www.akkodis.com/en-us/careers/job-results
UK: https://www.akkodis.com/en-gb/careers/job-results?q=
CANADA: https://www.akkodis.com/en-ca/careers/job-results?q=","Large international tech staffing firm (Adecco Group) with extensive client base; many open IT jobs, including Microsoft Dynamics and cloud roles.","Zurich, Switzerland (Global)",Recruiting Firm,Microsoft Dynamics 365 and Power Platform roles,,,,Done,,https://www.akkodis.com/en-ca/careers/job-results?q=power%20platform,https://www.akkodis.com/en-ca/careers/job-results?q=dynamics%20365,"class=""JobSearchResults_filter-results-job-position__w2qDq""",,,,,,,
HCLTech (PowerObjects),https://www.hcltech.com/careers,https://www.hcltech.com/careers/opportunities,HCL’s dedicated Microsoft Business Applications unit (PowerObjects) is a top Dynamics 365 specialist; strong industry reputation and lots of job openings in the field.,"Noida, India (Global)",Microsoft Partner (Consulting Firm),Microsoft Dynamics 365 and Power Platform services,,,,Done,no_job,,,,,,,,,,
